sentence_id,word,cyrillic,gloss,my_gloss
0,w=oč'uXa,во=чIуха,M=old,<m>>вочIуха<ADJ>
0,adami-Li,адами-лIи,man-GEN,
0,Xabar,хабар,tale,
0,s̄e=b=a,ссе=б=а,before=HPL,
0,ba=k'.a-bu,ба=кIа-бу,HPL=be.PST-PART,
0,adami-k-e:-Li,адами-к-е̄-лIи,man-PL-OBLPL-INTER,
0,L'ant'i-łir-a-Li,кьантIи-лъир-а-лIи,brave-MASD-OBL-GEN,
0,raq-alda-ruXu,рахъ-алда-руху,side-PLACE-TRANS,
1,bešenu-da,бешену-да,hundred-CARD,бешену<NUM>><card>
1,ł̄ik̄urula,лълъиккурула,over,
1,reši,реши,year,
1,s̄e=b=a,ссе=б=а,before=HPL,
1,iL-i-č'u,илI-и-чIу,we.INCL-OBL-CONT,илIи<PRON>><obl>><cont>
1,han-Li-ru,гьан-лIи-ру,village-INTER-EL,
1,Ridu-ru,гъиду-ру,Godoberi-EL,
1,ma=n-ida,ма=н-ида,HPL=go-HAB,
1,ba=k'.-a-da,ба=кI-а-да,HPL=be.PST-CONV-COP,
1,čabqad,чабхъад,pillage,
1,gurži,гуржи,Georgia,
2,ho=b,гьо=б,that=N,гьо<PRON>><n>
2,zamana-Li,замана-лIи,time-INTER,
2,suRraLi,сугъралIи,Sogratl,
2,han-Li-s̄u,гьан-лIи-ссу,village-INTER-ATTR,
2,adami,адами,man,
2,wu=k'-a-da,ву=кI-а-да,M=be.PST-CONV-COP,
2,gurži,гуржи,Georgia,
2,ma=n-aLa-bu-rdu,ма=н-алIа-бу-рду,HPL=go-PRS-PART-OBL.HPL.GEN,
2,wani,вани,leader,
3,ho-š-t̄i,гьо-щ-ти,he-OBL.M-ERG,гьо<PRON>><obl><m>><erg>
3,adami-ke-la,адами-ке-ла,man-PL-AND,
3,b=aš-al-u,б=ащ-ал-у,HPL=be.gathered-CAUS-CONV,
3,hani-be-qi-ru,гьани-бе-хъи-ру,village-PL-AD-EL,
3,ma=n-ida,ма=н-ида,HPL=go-HAB,
3,gurži,гуржи,Georgia,
3,dãj,даᴴй,thing,
3,b=uX-i,б=ух-и,N=take.away-INF,
3,adami-ke,адами-ке,man-PL,
3,qam-i,хъам-и,abduct-INF,
3,adami-ke,адами-ке,man-PL,
3,raq'adara,ракъадара,back,
3,b=erš-ida,б=ерщ-ида,HPL=trade-HAB,
3,ba=k'.-a-da,ба=кI-а-да,HPL=be.PST-CONV-COP,
3,beče-łir-a-łi-qi,бече-лъир-а-лъи-хъи,rich-MASD-OBL-DAT-AD,
3,arsi-qi,арси-хъи,money-AD,
3,misidi-qi,мисиди-хъи,gold-AD,
3,purca-qi,пурца-хъи,cattle-AD,
4,ho=b,гьо=б,that=N,гьо<PRON>><n>
4,zamana-Li,замана-лIи,time-INTER,
4,ho-rdu-łi,гьо-рду-лъи,he-OBL.HPL-DAT,гьо<PRON>><obl><h><pl>><dat>
4,sanu,сану,together,
4,čabqad,чабхъад,on.pillage,
4,ma=n-aL-a-wq'aLi,ма=н-алI-а-вукъалIи,HPL=go-PRS-CONV-WHEN,
4,sanu,сану,together,
4,wu=k'-a-da,ву=кI-а-да,M=be.PST-CONV-COP,
4,RebdiLi,гъибдилIи,Godoberian,
4,ʕalik'ya-L'u,гIаликIйа-кьу,Alikja-CIT,
4,hiL'-ata-bu,гьикь-ата-бу,name-PRS-PART,
4,adami,адами,man,
5,ʕalik'ya,гIаликIйа,Alikja,
5,wu=k'-a-da,ву=кI-а-да,M=be.PST-CONV-COP,
5,L'ant'i,кьантIи,brave,кьантIи<ADJ>
5,adami,адами,man,
6,ho=b=e,гьо=б=е,he=HPL=PL,гьо<PRON>><h>pl>
6,gurži(-Li),гуржи(-лIи),Georgia(-GEN),
6,ʕurqi-la,гIурхъи-ла,border-SUPER,
6,b=ac'-ã-wuq'aLi,б=ацI-аᴴ-вукъалIи,HPL=reach.PST-CONV-WHEN,
6,k.aXtaLi-s̄u,кахталIи-ссу,Kwahidatli-ATTR,
6,adami,адами,man,
6,musa-L'u,муса-кьу,Musa-CIT,
6,hiL'i-bu,гьикьи-бу,name.PST-PART,
6,ho=w=la,гьо=в=ла,he=M=AND,гьо<PRON>><m><and>
6,wu=k'-a-da,ву=кI-а-да,M=be.PST-CONV-COP,
6,ʕalik'ya-c̄imu-s̄u,гIаликIйа-цциму-ссу,Alikja-LIKE-ATTR,
6,L'ant'i,кьантIи,brave,кьантIи<ADJ>
6,adami,адами,man,
7,ho=b=e,гьо=б=е,he-HPL-PL,гьо<PRON>><h>pl>
7,k'e-da-la,кIе-да-ла,two-CARD-COLL,кIе<NUM>><card>><coll>
7,b=ešt-a-da,б=ешт-а-да,HPL=send.PST-CONV-COP,
7,ĩh-u-Li,иᴴ-у-лIи,group-OBL-GEN,
7,wani-di,вани-ди,leader-ERG,
7,c'eX-ĩ=reX-i,цIех-иᴴ=рех-и,look.for-INF=look.for-INF,
7,ĩh-i,иᴴгь-и,do-INF,
7,is̄ibala-s̄u,исибала-ссу,near-ATTR,
7,han-Li,гьан-лIи,village-INTER,
8,ho=b,гьо=б,that=N,гьо<PRON>><n>
8,zaman,заман,time,
8,bu=k'-a-da,бу=кI-а-да,N=be.PST-CONV-COP,
8,reładi-s̄u,релъади-ссу,at.night-ATTR,
8,zamana,замана,time,
9,ha=b=e,гьа=б=е,this=HPL=PL,гьа<PRON>><h><pl>
9,k'e-da-la,кIе-да-ла,two-CARD-COLL,кIе<NUM>><card>><coll>
9,han-Li,гьан-лIи,village-INTER,
9,b=ac'-ã-wq'aLi,б=ацI-аᴴ-вукъалIи,HPL=reach.PST-CONV-WHEN,
9,han-Li,гьан-лIи,village-INTER,
9,ceHe=b,цехIе=б,no.one=HPL,
9,č'iHi,чIихIи,nobody/nothing,
9,adami-k-e:-Li,адами-к-е̄-лIи,man-PL-OBLPL-INTER,
9,ba=k'-uč'-a-da,ба=кI-учI-а-да,HPL=be.PST-NEG-CONV-COP,
9,b=is-inč'-a-da,б=ис-инчI-а-да,HPL=find.PST-NEG-CONV-COP,
10,t'оrda,тIорда,UQI,
10,adami-ke,адами-ке,man-PL,
